Measurement Mode,Photometric,,,,,,,,,
FileVersion,2,,,,,,,,,
,,,,,,,,,,
No. of Total Measurement,4,,,,,,,,,
Sample Name,Date:Time,Check,Judge,OD230,OD260,OD280,OD550,OD650,Pathlength(mm),Dilution
Blank,22/7/2029 10:48,,,-0.005,0.038,-0.057,-0.008,-0.007,0.201,1
prot_1to1,22/7/2029 10:49,C,,6.525,0.493,0.643,4.224,5.827,0.201,1
prot_1to1.5,22/7/2029 10:50,C,,7.481,0.51,0.688,4.765,9.468,0.201,1
prot_1t2,22/7/2029 10:51,C,,7.191,0.625,0.826,5.124,11.91,0.201,1
Wavelength(nm),Blank,prot_1to1,prot_1to1.5,prot_1t2,,,,,,
392,-0.027,0.019,-0.015,0.036,,,,,,
393,-0.027,0.014,-0.023,0.027,,,,,,
394,-0.025,0.015,-0.023,0.027,,,,,,
395,-0.024,0.012,-0.029,0.02,,,,,,
396,-0.023,0.011,-0.032,0.017,,,,,,
397,-0.021,0.012,-0.03,0.019,,,,,,
398,-0.02,0.013,-0.028,0.021,,,,,,
399,-0.019,0.013,-0.028,0.02,,,,,,
400,-0.018,0.013,-0.028,0.018,,,,,,
401,-0.016,0.013,-0.029,0.018,,,,,,
402,-0.017,0.014,-0.027,0.019,,,,,,
403,-0.018,0.015,-0.025,0.02,,,,,,
404,-0.018,0.015,-0.025,0.02,,,,,,
405,-0.018,0.012,-0.029,0.015,,,,,,
406,-0.018,0.01,-0.033,0.011,,,,,,
407,-0.017,0.01,-0.035,0.012,,,,,,
408,-0.016,0.012,-0.032,0.015,,,,,,
409,-0.016,0.015,-0.027,0.017,,,,,,
410,-0.017,0.015,-0.027,0.018,,,,,,
411,-0.017,0.013,-0.03,0.014,,,,,,
412,-0.017,0.013,-0.032,0.013,,,,,,
413,-0.017,0.014,-0.031,0.014,,,,,,
414,-0.017,0.016,-0.028,0.017,,,,,,
415,-0.016,0.016,-0.026,0.019,,,,,,
416,-0.017,0.019,-0.024,0.021,,,,,,
417,-0.015,0.021,-0.02,0.025,,,,,,
418,-0.013,0.023,-0.017,0.028,,,,,,
419,-0.012,0.024,-0.014,0.031,,,,,,
420,-0.012,0.025,-0.011,0.033,,,,,,
421,-0.012,0.024,-0.015,0.029,,,,,,
