10		10		10		10	
20220913 biotin dsnPPR10C2 IMAC001:10_UV		20220913 biotin dsnPPR10C2 IMAC001:10_Cond		20220913 biotin dsnPPR10C2 IMAC001:10_Conc		20220913 biotin dsnPPR10C2 IMAC001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 %B	ml	(Fractions)
  12.317	   33.337000	  12.678	   16.933000	  14.490	   14.000000	         	            
  12.459	   40.582000	  12.824	   16.951000	  14.656	   14.200000	         	            
  12.600	   47.781000	  12.970	   16.970000	  14.823	   14.400000	         	            
  12.742	   55.227000	  13.115	   16.989000	  14.989	   14.500000	         	            
  12.883	   62.726000	  13.261	   17.012000	  15.156	   14.700000	         	            
  13.025	   70.529000	  13.407	   17.037000	  15.322	   14.900000	         	            
  13.166	   78.067000	  13.553	   17.061000	  15.489	   15.000000	         	            
  13.308	   85.513000	  13.698	   17.085000	  15.655	   15.200000	         	            
  13.450	   92.816000	  13.844	   17.106000	  15.822	   15.400000	         	            
  13.591	   99.598000	  13.990	   17.127000	  15.988	   15.500000	         	            
  13.733	  106.779000	  14.136	   17.142000	  16.155	   15.700000	         	            
  13.874	  114.677000	  14.281	   17.161000	  16.322	   15.800000	         	            
  14.016	  123.883000	  14.427	   17.172000	  16.488	   16.000000	         	            
  14.158	  134.740000	  14.573	   17.187000	  16.655	   16.200000	         	            
  14.299	  148.871000	  14.718	   17.207000	  16.821	   16.300000	         	            
  14.441	  164.416000	  14.864	   17.230000	  16.988	   16.500000	         	            
  14.582	  185.032000	  15.010	   17.249000	  17.154	   16.700000	         	            
  14.724	  212.519000	  15.156	   17.265000	  17.321	   16.800000	         	            
  14.865	  241.755000	  15.301	   17.283000	  17.487	   17.000000	         	            
  15.007	  266.131000	  15.447	   17.298000	  17.654	   17.200000	         	            
  15.149	  285.466000	  15.593	   17.311000	  17.820	   17.300000	         	            
  15.290	  301.583000	  15.739	   17.324000	  17.987	   17.500000	         	            
  15.432	  316.288000	  15.884	   17.330000	  18.154	   17.600000	         	            
  15.573	  327.554000	  16.030	   17.343000	  18.320	   17.800000	         	            
  15.715	  333.877000	  16.176	   17.353000	  18.487	   18.000000	         	            
  15.856	  336.382000	  16.321	   17.363000	  18.653	   18.100000	         	            
  15.998	  334.938000	  16.467	   17.374000	  18.820	   18.300000	         	            
  16.140	  328.954000	  16.613	   17.391000	  18.986	   18.500000	         	            
  16.281	  316.671000	  16.759	   17.405000	  19.153	   18.600000	         	            
  16.423	  298.898000	  16.904	   17.418000	  19.319	   18.800000	         	            
  16.564	  277.150000	  17.050	   17.430000	  19.486	   19.000000	         	            
